timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-07-05T08:52:38,codecarbon,648d30bf-e6ed-4cc1-8633-702bea7e2ed9,0.0008959770202636,5.028161097235151e-10,5.611930868221869e-07,42.5,0.0,3.0,8.379254076215957e-09,0,2.8491020202636716e-10,8.664164278242324e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T08:53:20,codecarbon,c908fc55-047f-45e9-b471-8f5b96722100,0.0019662380218505,1.2766370137532555e-09,6.492789782143002e-07,42.5,0.0,3.0,2.09579865137736e-08,0,1.040101051330566e-09,2.1998087565104173e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T08:53:25,codecarbon,1f5e3dac-85e9-4cf0-bea7-632bff5057eb,0.0040099620819091,1.3249240715636151e-09,3.304081296780758e-07,42.5,0.0,3.0,2.2356874412960484e-08,0,4.732608795166014e-10,2.2830135292477082e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T08:53:49,codecarbon,d8334f62-795e-4379-96f2-6ebf3fd0bad3,0.0013980865478515,8.631117009454303e-10,6.17352124782098e-07,42.5,0.0,3.0,1.4284418688880076e-08,0,5.88099161783854e-10,1.4872517850663933e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:06:27,codecarbon,a6466b2e-5873-4d4a-9772-70c78f9d2140,0.0008289813995361,4.626137278477352e-10,5.58050793548078e-07,42.5,0.0,3.0,7.743140061696371e-09,0,2.2828578948974607e-10,7.971425851186117e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:06:30,codecarbon,c2f8da8d-9825-4452-a7d7-f347b2ff8a89,0.0013692378997802,8.6804667784108e-10,6.339633733337204e-07,42.5,0.0,3.0,1.4250642723507353e-08,0,7.069110870361328e-10,1.4957553810543486e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:06:32,codecarbon,abd1df3a-2d8e-4c1d-847a-be041e11b22c,0.0008807182312011,4.942759861548743e-10,5.612192056939182e-07,42.5,0.0,3.0,8.249779542287192e-09,0,2.672274907430013e-10,8.517007033030194e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:06:58,codecarbon,4175bcc9-5a70-4378-8d00-748d65993108,0.0015022754669189,9.575700028737386e-10,6.374130603607893e-07,42.5,0.0,3.0,1.5773375829060872e-08,0,7.26779301961263e-10,1.6500155131022135e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:07:03,codecarbon,4d6c4d7e-402b-45d9-b793-6f2191aea2c7,0.0011157989501953,6.74502572284804e-10,6.045018882359924e-07,42.5,0.0,3.0,1.1165771219465468e-08,0,4.5677026112874335e-10,1.162254148059421e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:15:22,codecarbon,bc7459bf-a976-43ce-b976-adb4f252c5c9,0.0030100345611572,2.0399576398399144e-09,6.777190089988999e-07,42.5,0.0,3.0,3.3491684330834286e-08,0,1.659393310546875e-09,3.5151077641381166e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
2023-07-05T09:15:24,codecarbon,61c35009-17c7-4a2d-b3f6-d06e07a278df,0.0174052715301513,1.264006893561946e-08,7.262207265036292e-07,42.5,0.0,3.0,2.0367188586129082e-07,0,1.4132658640543621e-08,2.178045445018345e-07,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,2.2.4,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N,1.0
